zacetek_A,zacetek_B,srecanje_id,srecanje_ime,stevilo_korakov
mega_351,mega_225,mega_161,Bavarski dvor,451
mega_371,mega_3,mega_241,Razstavišče,703
mega_419,mega_177,mega_118,Bežigrad,122
mega_372,mega_379,mega_131,Križanke,439
mega_419,mega_430,mega_161,Bavarski dvor,548
mega_450,mega_247,mega_316,Žale,489
mega_321,mega_117,mega_350,Šola Jarše,1068
mega_154,mega_56,mega_39,Ajdovščina,1776
mega_449,mega_162,mega_138,Astra,162
mega_396,mega_54,mega_366,Gosposvetska,802
mega_40,mega_164,mega_376,Ljubljanske brigade,44
mega_458,mega_225,mega_386,Konzorcij/Pošta,1686
mega_140,mega_14,mega_161,Bavarski dvor,1208
mega_456,mega_425,mega_241,Razstavišče,1212
mega_125,mega_166,mega_354,Sneberje,546
mega_214,mega_128,mega_138,Astra,1218
mega_299,mega_109,mega_241,Razstavišče,958
mega_136,mega_188,mega_366,Gosposvetska,162
mega_393,mega_162,mega_241,Razstavišče,95
mega_189,mega_434,mega_267,Polje,15
mega_303,mega_396,mega_112,Poljanska,796
mega_283,mega_450,mega_138,Astra,67
mega_9,mega_67,mega_143,Krimska,1700
mega_280,mega_147,mega_309,Drama,660
mega_423,mega_304,mega_366,Gosposvetska,103
mega_218,mega_405,mega_161,Bavarski dvor,901
mega_208,mega_175,N/A,N/A,2305
mega_411,mega_438,mega_240,Pot na Rakovo jelšo,221
mega_338,mega_422,mega_347,Kolodvor,784
mega_324,mega_18,mega_56,Lutkovno gl.,311
mega_133,mega_448,mega_386,Konzorcij/Pošta,476
mega_182,mega_415,mega_118,Bežigrad,748
mega_55,mega_133,mega_39,Ajdovščina,554
mega_444,mega_12,mega_366,Gosposvetska,1426
mega_160,mega_17,mega_278,Slovenija avto,381
mega_296,mega_38,mega_118,Bežigrad,515
mega_161,mega_373,mega_241,Razstavišče,132
mega_283,mega_307,mega_299,Obrtna cona,2
mega_303,mega_384,mega_332,Stara cerkev,192
mega_106,mega_56,mega_350,Šola Jarše,898
mega_254,mega_28,mega_325,Studenec,47
mega_291,mega_382,mega_148,Poliklinika,529
mega_222,mega_373,mega_114,Klinični center,176
mega_26,mega_215,mega_161,Bavarski dvor,70
mega_40,mega_393,mega_39,Ajdovščina,87
mega_399,mega_279,mega_160,AMZS,460
mega_20,mega_456,mega_309,Drama,778
mega_326,mega_73,mega_181,Aškerčeva,563
mega_289,mega_243,mega_366,Gosposvetska,353
mega_0,mega_435,mega_161,Bavarski dvor,392
mega_15,mega_264,mega_324,Rutar,653
mega_32,mega_220,mega_161,Bavarski dvor,856
mega_67,mega_382,mega_275,Peruzzijeva,485
mega_414,mega_273,mega_309,Drama,120
mega_0,mega_49,mega_390,Flajšmanova/ZELENA JAMA,338
mega_168,mega_292,mega_161,Bavarski dvor,1102
mega_390,mega_222,mega_332,Stara cerkev,39
mega_454,mega_305,mega_161,Bavarski dvor,384
mega_308,mega_155,mega_121,Ambrožev trg,720
mega_50,mega_210,mega_386,Konzorcij/Pošta,1419
mega_209,mega_244,N/A,N/A,2305
mega_155,mega_323,mega_347,Kolodvor,386
mega_416,mega_37,mega_118,Bežigrad,69
mega_294,mega_337,mega_39,Ajdovščina,352
mega_252,mega_369,mega_78,Prekmurska,317
mega_82,mega_233,mega_93,Litostrojska,730
mega_101,mega_362,mega_309,Drama,672
mega_29,mega_341,mega_267,Polje,2
mega_119,mega_128,mega_161,Bavarski dvor,227
mega_330,mega_254,mega_241,Razstavišče,458
mega_181,mega_39,mega_386,Konzorcij/Pošta,10
mega_299,mega_261,mega_161,Bavarski dvor,597
mega_342,mega_312,mega_39,Ajdovščina,109
mega_246,mega_81,mega_39,Ajdovščina,958
mega_75,mega_316,mega_39,Ajdovščina,1524
mega_304,mega_116,mega_383,VEVČE/Vevče,328
mega_84,mega_46,mega_241,Razstavišče,123
mega_377,mega_160,mega_241,Razstavišče,537
mega_268,mega_352,mega_309,Drama,300
mega_366,mega_331,mega_94,Stadion,121
mega_330,mega_448,mega_276,Kino Šiška,135
mega_221,mega_335,mega_343,Kodrova,47
mega_343,mega_268,mega_39,Ajdovščina,1477
mega_258,mega_289,mega_386,Konzorcij/Pošta,274
mega_11,mega_220,mega_161,Bavarski dvor,651
mega_279,mega_304,N/A,N/A,2305
mega_272,mega_186,mega_161,Bavarski dvor,259
mega_186,mega_346,mega_161,Bavarski dvor,286
mega_60,mega_84,mega_386,Konzorcij/Pošta,381
mega_25,mega_8,mega_133,Emona,1238
mega_67,mega_207,mega_386,Konzorcij/Pošta,209
mega_75,mega_430,mega_374,Zaloška,773
mega_411,mega_305,mega_305,Spodnji Rudnik,2
mega_322,mega_356,mega_282,Ižica,8
mega_162,mega_109,mega_348,Murkova,43
mega_34,mega_129,mega_161,Bavarski dvor,215
mega_265,mega_279,mega_351,Jarše,711
mega_33,mega_12,mega_317,Savske stolpnice,939
mega_235,mega_182,mega_121,Ambrožev trg,236
mega_273,mega_154,mega_386,Konzorcij/Pošta,22
mega_356,mega_368,mega_386,Konzorcij/Pošta,166
mega_313,mega_40,mega_39,Ajdovščina,138
mega_453,mega_104,mega_59,Brodarjev trg,248
mega_165,mega_37,mega_77,Stožice,1150
mega_151,mega_179,mega_386,Konzorcij/Pošta,782
mega_281,mega_52,mega_374,Zaloška,194
mega_267,mega_396,mega_394,Kodeljevo/Ob sotočju,507
mega_175,mega_342,mega_241,Razstavišče,2056
mega_433,mega_63,mega_52,Zadvor,1407
mega_120,mega_60,mega_320,Stara Ježica,102
mega_81,mega_225,mega_309,Drama,528
mega_453,mega_380,mega_332,Stara cerkev,77
mega_417,mega_186,mega_39,Ajdovščina,562
mega_137,mega_334,mega_73,Cesta v Zavoglje,1271
mega_203,mega_241,mega_309,Drama,745
mega_319,mega_439,mega_161,Bavarski dvor,812
mega_400,mega_322,mega_290,Medno,204
mega_176,mega_294,mega_161,Bavarski dvor,1017
mega_326,mega_129,mega_39,Ajdovščina,520
mega_54,mega_309,mega_131,Križanke,267
mega_418,mega_457,mega_161,Bavarski dvor,1518
mega_415,mega_447,mega_204,Tržnica Moste,1152
mega_234,mega_83,N/A,N/A,2305
mega_58,mega_216,mega_114,Klinični center,506
mega_248,mega_39,mega_241,Razstavišče,258
mega_119,mega_390,mega_386,Konzorcij/Pošta,314
mega_392,mega_145,mega_276,Kino Šiška,471
mega_249,mega_281,mega_161,Bavarski dvor,1325
